,s1_open,s2_open
0,4.64,11.33
1,4.597,10.791
2,4.563,10.835
3,4.4,10.88
4,4.426,11.267
5,4.417,11.977
6,4.34,11.761
7,4.34,11.905
8,4.323,11.554
9,4.366,11.86
10,4.357,12.39
11,4.34,12.309
12,4.297,12.471
13,4.306,12.776
14,4.315,12.767
15,4.417,12.399
16,4.366,12.632
17,4.374,12.605
18,4.374,12.417
19,4.4,12.129
20,4.383,12.462
21,4.306,12.354
22,4.349,12.354
23,4.426,12.444
24,4.486,12.246
25,4.452,12.453
26,4.426,12.453
27,4.486,12.579
28,4.477,12.462
29,4.4,12.489
30,4.452,12.668
31,4.452,12.821
32,4.366,13.064
33,4.297,13.01
34,4.22,13.127
35,4.238,13.1
36,4.212,13.064
37,4.263,13.369
38,4.255,13.306
39,4.306,12.83
40,4.28,12.695
41,4.297,12.839
42,4.238,12.983
43,4.109,12.911
44,4.118,13.073
45,4.126,12.596
46,4.238,12.39
47,4.212,12.507
48,4.238,12.462
49,4.186,12.3
50,4.178,12.228
51,4.118,12.192
52,4.229,11.905
53,4.246,12.057
54,4.28,11.932
55,4.246,11.5
56,4.212,11.096
57,4.203,11.033
58,4.16,11.824
59,4.186,11.806
60,4.272,11.815
61,4.212,12.093
62,4.229,12.579
63,4.315,12.677
64,4.306,12.668
65,4.349,12.561
66,4.297,12.399
67,4.28,13.073
68,4.212,12.974
69,4.246,13.037
70,4.212,12.866
71,4.195,12.848
72,4.178,12.938
73,4.16,13.055
74,4.143,12.938
75,4.169,13.118
76,4.126,13.378
77,3.964,13.198
78,3.929,13.369
79,3.878,13.136
80,3.887,12.857
81,3.887,12.803
82,3.844,12.83
83,3.861,12.668
84,3.921,12.803
85,4.015,12.399
86,3.972,12.489
87,3.964,12.39
88,3.912,12.435
89,3.938,12.974
90,3.921,13.073
91,3.904,13.252
92,3.912,13.064
93,3.895,13.657
94,3.921,13.567
95,3.938,13.477
96,3.895,13.423
97,3.921,13.163
98,3.878,12.812
99,3.878,12.893
100,3.878,12.875
101,3.844,12.92
102,3.852,12.848
103,3.827,13.1
104,3.818,13.252
105,3.844,13.414
106,3.827,13.369
107,3.861,13.163
108,3.895,13.297
109,3.895,12.938
110,3.852,12.605
111,3.827,12.543
112,3.75,12.417
113,3.784,12.345
114,3.767,12.3
115,3.775,12.641
116,3.758,12.462
117,3.784,11.932
118,3.801,11.545
119,3.792,11.428
120,3.784,11.68
121,3.809,11.366
122,3.827,11.446
123,3.801,11.554
124,3.784,11.491
125,3.801,11.68
126,3.758,10.889
127,3.758,10.988
128,3.767,10.728
129,3.801,10.827
130,3.818,10.512
131,3.827,10.332
132,3.809,10.431
133,3.818,10.476
134,3.818,10.44
135,3.835,10.539
136,3.869,10.8
137,3.912,10.719
138,3.972,10.907
139,4.041,10.818
140,3.998,10.907
141,4.006,11.132
142,4.032,11.216
143,4.023,11.078
144,4.066,11.115
145,4.135,10.967
146,4.212,10.673
147,4.178,10.783
148,4.116,10.645
149,4.143,10.663
150,4.125,10.608
151,4.134,10.663
152,4.222,10.709
153,4.169,10.737
154,4.205,10.608
155,4.275,10.378
156,4.231,9.945
157,4.196,9.973
158,4.143,9.402
159,4.081,9.347
160,4.055,9.135
161,4.063,9.089
162,4.099,8.536
163,4.108,8.223
164,4.134,8.426
165,4.214,9.264
166,4.196,9.347
167,4.249,9.402
168,4.24,9.356
169,4.249,9.199
170,4.328,8.969
171,4.355,8.389
172,4.346,8.527
173,4.231,8.472
174,4.337,8.242
175,4.32,8.103
176,4.284,8.426
177,4.187,8.426
178,4.214,8.306
179,4.302,8.555
180,4.275,8.822
181,4.302,8.73
182,4.32,8.895
183,4.32,8.859
184,4.373,8.822
185,4.355,8.684
186,4.311,8.444
187,4.373,8.407
188,4.311,8.37
189,4.275,8.61
190,4.293,8.674
191,4.328,8.822
192,4.311,8.61
193,4.231,8.656
194,4.187,8.674
195,4.116,8.435
196,4.081,8.315
197,4.081,8.361
198,4.169,8.269
199,4.205,8.463
200,4.267,8.518
201,4.293,8.591
202,4.39,8.481
203,4.655,8.297
204,4.576,8.343
205,4.54,8.417
206,4.47,8.334
207,4.558,8.288
208,4.408,8.177
209,4.461,8.251
210,4.417,8.278
211,4.399,8.205
212,4.434,8.324
213,4.373,8.205
214,4.373,8.149
215,4.399,7.91
216,4.523,7.652
217,4.532,7.542
218,4.585,7.505
219,4.558,7.505
220,4.558,7.008
221,4.576,7.173
222,4.62,7.965
223,4.779,7.928
224,4.841,8.214
225,5.07,8.14
226,4.85,8.103
227,5.459,8.122
228,5.212,8.039
229,5.583,8.564
230,5.486,8.601
231,5.424,8.518
232,5.556,9.098
233,5.592,9.236
234,5.415,9.08
235,5.459,9.052
236,6.325,9.485
237,5.83,9.568
238,5.724,9.549
239,5.6,9.743
240,6.113,9.798
241,6.086,9.54
242,6.254,9.347
243,6.228,9.19
244,6.325,9.19
245,6.298,9.328
246,6.157,8.877
247,6.219,9.273
248,5.98,9.549
249,5.857,9.393
250,5.653,9.347
251,5.671,9.374
252,5.592,9.844
253,5.795,9.743
254,5.459,9.604
255,5.247,9.623
256,5.318,9.853
257,5.477,10.313
258,5.521,10.433
259,5.468,10.424
260,5.547,10.553
261,5.592,11.05
262,5.45,11.234
263,5.441,11.833
264,5.353,11.722
265,5.353,11.538
266,5.415,11.529
267,5.459,11.326
268,5.291,10.728
269,5.15,10.866
270,5.123,10.277
271,5.229,10.277
272,5.282,10.359
273,5.327,10.231
274,5.344,10.461
275,5.38,10.866
276,5.388,10.774
277,5.327,9.853
278,5.556,10.046
279,5.565,9.807
280,5.583,9.853
281,5.468,9.798
282,5.503,9.687
283,5.521,9.908
284,5.468,9.669
285,5.53,9.678
286,5.53,9.724
287,5.494,9.669
288,5.547,9.678
289,5.583,10.092
290,5.671,10.056
291,5.83,10.037
292,5.91,9.945
293,5.98,9.798
294,5.963,9.669
295,6.024,9.374
296,5.91,9.218
297,6.007,9.227
298,6.122,9.466
299,6.166,9.208
300,6.89,9.254
301,6.466,9.402
302,6.599,9.577
303,6.537,9.328
304,6.722,9.282
305,6.846,9.006
306,6.864,9.199
307,6.581,9.052
308,6.669,9.116
309,6.811,9.65
310,6.837,9.586
311,6.51,9.218
312,6.722,9.328
313,6.908,9.135
314,7.146,8.978
315,7.243,8.628
316,7.358,8.702
317,7.19,8.739
318,7.402,8.794
319,7.288,8.978
320,7.023,8.748
321,7.058,8.831
322,6.961,8.739
323,7.049,8.518
324,6.581,8.38
325,6.334,8.509
326,6.351,8.776
327,6.493,8.941
328,6.669,8.997
329,6.731,8.895
330,6.775,8.757
331,6.705,8.674
332,6.652,8.591
333,6.59,8.711
334,6.819,8.564
335,6.793,8.647
336,7.217,8.499
337,7.129,8.545
338,7.447,8.426
339,7.491,8.288
340,7.773,8.324
341,7.773,8.021
342,8.675,7.671
343,9.54,7.652
344,8.913,7.551
345,9.01,7.496
346,9.001,7.44
347,9.072,7.164
348,8.807,7.137
349,8.798,6.796
350,8.931,6.962
351,9.01,6.943
352,8.754,6.86
353,8.268,6.86
354,8.33,6.833
355,7.959,6.676
356,7.385,6.446
357,7.667,6.593
358,7.835,6.446
359,7.508,6.262
360,7.288,6.271
361,6.713,6.593
362,7.137,6.962
363,6.784,6.704
364,6.166,6.704
365,6.139,6.731
366,5.494,6.593
367,4.779,6.455
368,4.761,6.308
369,5.344,6.427
370,5.901,6.538
371,6.104,6.51
372,5.751,6.4
373,5.335,6.4
374,5.459,6.354
375,5.724,6.4
376,5.645,6.372
377,5.777,6.529
378,5.759,6.464
379,5.918,6.529
380,5.6,6.584
381,5.079,6.51
382,5.212,6.492
383,5.362,6.584
384,5.079,6.888
385,5.212,6.989
386,5.609,6.851
387,5.742,6.796
388,5.698,6.777
389,5.742,6.87
390,5.814,6.823
391,6.464,6.882
392,6.579,6.796
393,6.33,6.748
394,6.686,6.882
395,6.579,6.872
396,6.668,6.958
397,5.778,6.853
398,6.045,6.91
399,5.787,7.13
400,5.386,7.225
401,4.532,7.168
402,4.63,7.044
403,4.478,7.13
404,4.763,7.292
405,4.897,7.53
406,4.986,8.388
407,4.897,7.921
408,4.852,7.74
409,4.772,7.692
410,4.995,7.358
411,4.986,7.416
412,4.906,7.53
413,5.039,7.387
414,4.523,7.339
415,4.371,7.072
416,4.683,7.139
417,4.585,7.158
418,4.567,7.234
419,4.71,7.215
420,4.638,7.101
421,4.594,7.234
422,4.603,7.396
423,4.496,7.482
424,4.46,7.244
425,4.434,7.149
426,4.585,7.196
427,4.576,7.187
428,4.647,7.206
429,4.781,7.053
430,4.736,6.872
431,4.674,6.796
432,4.808,6.825
433,4.861,6.767
434,4.79,6.815
435,4.879,6.748
436,4.63,6.767
437,4.727,6.739
438,4.817,6.691
439,4.781,6.701
440,4.727,6.691
441,4.719,6.672
442,4.692,6.644
443,4.603,6.701
444,4.638,6.596
445,4.63,6.605
446,4.799,6.739
447,4.879,6.987
448,5.021,6.929
449,4.986,6.872
450,5.003,6.815
451,5.075,6.796
452,4.923,6.815
453,4.799,6.72
454,4.914,6.758
455,4.914,6.882
456,4.932,6.767
457,4.968,6.682
458,5.012,6.872
459,4.923,7.044
460,4.897,7.006
461,4.932,7.034
462,4.843,6.977
463,4.549,6.863
464,4.541,6.777
465,4.594,6.748
466,5.19,6.796
467,5.048,6.71
468,4.986,6.624
469,4.977,6.539
470,4.772,6.491
471,4.772,6.053
472,4.683,6.129
473,4.674,6.081
474,4.834,6.129
475,4.799,6.043
476,4.763,6.1
477,4.834,6.053
478,4.799,6.301
479,4.914,5.813
480,4.906,5.92
481,4.959,6.018
482,4.968,5.754
483,5.012,5.793
484,4.781,5.705
485,4.817,5.754
486,4.799,5.539
487,4.763,5.656
488,4.354,5.227
489,4.496,5.363
490,4.594,5.471
491,4.452,5.314
492,4.443,5.344
493,4.407,5.334
494,4.398,5.344
495,4.211,4.943
496,4.345,4.777
497,4.078,4.572
498,4.104,4.679
499,4.202,4.523
500,4.14,4.582
501,4.095,4.631
502,4.095,4.67
503,4.086,4.504
504,3.819,4.611
505,3.917,4.758
506,3.757,5.275
507,3.828,5.324
508,3.739,5.373
509,3.748,5.344
510,3.766,5.227
511,3.819,5.256
512,3.73,4.846
513,3.766,4.865
514,3.908,4.777
515,4.006,4.865
516,4.006,5.158
517,4.033,5.227
518,4.069,5.461
519,3.997,5.441
520,4.033,5.227
521,3.775,5.295
522,3.748,5.158
523,3.677,5.207
524,3.704,5.324
525,3.891,5.285
526,3.908,5.334
527,4.024,5.383
528,4.024,5.5
529,3.926,5.568
530,3.935,5.549
531,3.873,5.647
532,3.953,5.481
533,3.997,5.568
534,4.033,5.5
535,3.944,5.451
536,4.024,5.588
537,4.113,5.49
538,4.131,5.529
539,4.078,5.549
540,4.078,5.549
541,3.989,5.432
542,4.042,5.52
543,4.006,5.637
544,3.971,5.666
545,4.095,5.764
546,4.069,5.774
547,4.104,5.881
548,4.14,5.744
549,4.149,5.695
550,4.051,5.52
551,4.06,5.441
552,4.167,5.402
553,4.158,5.354
554,4.256,5.412
555,4.247,5.334
556,4.158,5.285
557,4.095,5.295
558,4.095,5.373
559,3.917,5.383
560,3.908,5.373
561,3.917,5.178
562,3.9,4.914
563,3.917,4.904
564,3.891,4.865
565,3.846,4.885
566,3.81,4.885
567,3.864,4.924
568,3.873,4.865
569,3.873,4.806
570,3.784,4.767
571,3.668,4.855
572,3.677,4.855
573,3.624,4.816
574,3.65,4.797
575,3.659,4.826
576,3.686,4.816
577,3.65,4.797
578,3.615,4.973
579,3.597,4.943
580,3.624,4.933
581,3.632,4.953
582,3.615,4.943
583,3.624,4.924
584,3.632,4.865
585,3.597,4.767
586,3.597,4.787
587,3.695,4.885
588,3.677,4.855
589,3.686,4.894
590,3.686,4.885
591,3.677,4.846
592,3.668,4.865
593,3.624,4.836
594,3.677,4.767
595,3.65,4.826
596,3.713,4.846
597,3.677,4.924
598,3.686,4.904
599,3.659,4.914
600,3.632,5.012
601,3.641,5.129
